unicode_value,glyph_name,unicode_char
-1,.notdef,
-1,.null,
-1,uni000A,
32,space, 
33,exclam,!
34,quotedbl,""""
35,numbersign,#
36,dollar,$
37,percent,%
38,ampersand,&
39,quotesingle,'
40,parenleft,(
41,parenright,)
42,asterisk,*
43,plus,+
44,comma,","
45,hyphen,-
46,period,.
47,slash,/
48,zero,0
49,one,1
50,two,2
51,three,3
52,four,4
53,five,5
54,six,6
55,seven,7
56,eight,8
57,nine,9
58,colon,:
59,semicolon,;
60,less,<
61,equal,=
62,greater,>
63,question,?
64,at,@
65,A,A
66,B,B
67,C,C
68,D,D
69,E,E
70,F,F
71,G,G
72,H,H
73,I,I
74,J,J
75,K,K
76,L,L
77,M,M
78,N,N
79,O,O
80,P,P
81,Q,Q
82,R,R
83,S,S
84,T,T
85,U,U
86,V,V
87,W,W
88,X,X
89,Y,Y
90,Z,Z
91,bracketleft,[
92,backslash,\
93,bracketright,]
94,asciicircum,^
95,underscore,_
96,grave,`
97,a,a
98,b,b
99,c,c
100,d,d
101,e,e
102,f,f
103,g,g
104,h,h
105,i,i
106,j,j
107,k,k
108,l,l
109,m,m
110,n,n
111,o,o
112,p,p
113,q,q
114,r,r
115,s,s
116,t,t
117,u,u
118,v,v
119,w,w
120,x,x
121,y,y
122,z,z
123,braceleft,{
124,bar,|
125,braceright,}
126,asciitilde,~
160,uni00A0, 
12290,uni3002,。
12304,uni3010,【
12305,uni3011,】
19968,uni4E00,一
19971,uni4E03,七
19977,uni4E09,三
19978,uni4E0A,上
19979,uni4E0B,下
20013,uni4E2D,中
20061,uni4E5D,九
20108,uni4E8C,二
20116,uni4E94,五
20840,uni5168,全
20843,uni516B,八
20845,uni516D,六
20998,uni5206,分
21068,uni524C,剌
21076,uni5254,剔
21128,uni5288,劈
21246,uni52FE,勾
21313,uni5341,十
21322,uni534A,半
21382,uni5386,历
21452,uni53CC,双
21453,uni53CD,反
21472,uni53E0,叠
21512,uni5408,合
21517,uni540D,名
21535,uni541F,吟
22235,uni56DB,四
22278,uni5706,圆
22291,uni5713,圓
22806,uni5916,外
22823,uni5927,大
22914,uni5982,如
23450,uni5B9A,定
23545,uni5BF9,对
23565,uni5C0D,對
23567,uni5C0F,小
23569,uni5C11,少
23601,uni5C31,就
24102,uni5E26,带
24118,uni5E36,帶
24212,uni5E94,应
24320,uni5F00,开
24358,uni5F26,弦
24377,uni5F39,弹
24392,uni5F48,彈
24489,uni5FA9,復
24509,uni5FBD,徽
24613,uni6025,急
24687,uni606F,息
25033,uni61C9,應
25171,uni6253,打
25176,uni6258,托
25206,uni6276,扶
25235,uni6293,抓
25273,uni62B9,抹
25320,uni62E8,拨
25361,uni6311,挑
25488,uni6390,掐
25513,uni63A9,掩
25602,uni6402,搂
25688,uni6458,摘
25695,uni645F,摟
25735,uni6487,撇
25758,uni649E,撞
25765,uni64A5,撥
25774,uni64AE,撮
25955,uni6563,散
27490,uni6B62,止
27508,uni6B74,歴
27832,uni6CB8,沸
27867,uni6CDB,泛
27880,uni6CE8,注
28378,uni6EDA,滚
28414,uni6EFE,滾
28857,uni70B9,点
29489,uni7331,猱
29829,uni7485,璅
30090,uni758A,疊
30701,uni77ED,短
32048,uni7D30,細
32067,uni7D43,絃
32189,uni7DBD,綽
32454,uni7EC6,细
32496,uni7EF0,绰
32972,uni80CC,背
33267,uni81F3,至
34866,uni8832,蠲
35387,uni8A3B,註
36215,uni8D77,起
36330,uni8DEA,跪
36650,uni8F2A,輪
36718,uni8F6E,轮
36827,uni8FDB,进
36864,uni9000,退
36914,uni9032,進
38263,uni9577,長
38271,uni957F,长
38283,uni958B,開
38617,uni96D9,雙
38899,uni97F3,音
39135,uni98DF,食
40670,uni9EDE,點
65292,uniFF0C,，
65306,uniFF1A,：
65372,uniFF5C,｜
-1,ellipsis.vert,
-1,uniFF5E.vert,
360449,blank,񘀁
360450,blank_bar,񘀂
360451,blank_colon,񘀃
360452,advance,񘀄
360453,half_advance,񘀅
